Date,Open,High,Low,Close,Volume
2025-03-06 14:30:00,575.5,575.75,575.1300048828125,575.47998046875,2700998
2025-03-06 14:31:00,574.989990234375,575.719970703125,574.7899780273438,575.5,247214
2025-03-06 14:32:00,574.760009765625,575.25,574.5701293945312,575.030029296875,190146
2025-03-06 14:33:00,574.97998046875,575.0700073242188,574.6500244140625,574.719970703125,185143
2025-03-06 14:34:00,575.0999755859375,575.3499755859375,574.719970703125,575.030029296875,204660
2025-03-06 14:35:00,574.4199829101562,575.0800170898438,574.3800048828125,575.0800170898438,212311
2025-03-06 14:36:00,574.469970703125,574.5499877929688,573.77001953125,574.4500122070312,266347
2025-03-06 14:37:00,574.6599731445312,574.7598876953125,574.25,574.4099731445312,161880
2025-03-06 14:38:00,574.969970703125,575.0900268554688,574.4500122070312,574.6599731445312,183003
2025-03-06 14:39:00,574.8900146484375,575.1900024414062,574.5900268554688,575.0,194442
2025-03-06 14:40:00,574.9500122070312,575.27001953125,574.6199951171875,574.8800048828125,167735
2025-03-06 14:41:00,574.3150024414062,575.030029296875,573.8900146484375,574.9600219726562,235709
2025-03-06 14:42:00,574.6400146484375,574.7899780273438,574.219970703125,574.2899780273438,126571
2025-03-06 14:43:00,573.8800048828125,574.7100219726562,573.8400268554688,574.6284790039062,146948
2025-03-06 14:44:00,573.6300048828125,573.9400024414062,573.4500122070312,573.8900146484375,219263
2025-03-06 14:45:00,574.1599731445312,574.469970703125,573.5800170898438,573.6500244140625,189936
2025-03-06 14:46:00,574.1400146484375,574.3499755859375,573.9299926757812,574.1900024414062,146957
2025-03-06 14:47:00,574.4500122070312,574.5,574.010009765625,574.1099853515625,98355
2025-03-06 14:48:00,574.3200073242188,574.7999877929688,573.989990234375,574.469970703125,178467
2025-03-06 14:49:00,574.760009765625,575.0850219726562,574.1500244140625,574.2999877929688,199120
2025-03-06 14:50:00,575.510009765625,575.5599975585938,574.5499877929688,574.739990234375,184400
2025-03-06 14:51:00,575.6199951171875,575.989990234375,575.4400024414062,575.510009765625,276092
2025-03-06 14:52:00,575.5499877929688,575.6649780273438,575.3300170898438,575.6099853515625,184482
2025-03-06 14:53:00,574.8699951171875,574.8699951171875,574.8699951171875,574.8699951171875,167807
2025-03-06 14:54:00,574.9000244140625,575.030029296875,574.6799926757812,574.8400268554688,168501
2025-03-06 14:55:00,574.8599853515625,575.1799926757812,574.6300048828125,574.8699951171875,125946
2025-03-06 14:56:00,574.3300170898438,574.8499755859375,574.1599731445312,574.8400268554688,128978
2025-03-06 14:57:00,574.4099731445312,574.510009765625,574.1400146484375,574.3499755859375,140243
2025-03-06 14:58:00,574.2899780273438,574.7100219726562,574.219970703125,574.3499755859375,94330
2025-03-06 14:59:00,574.4229736328125,574.6500244140625,574.219970703125,574.280029296875,178350
2025-03-06 15:00:00,574.989990234375,575.4600219726562,574.0850219726562,574.4099731445312,348372
2025-03-06 15:01:00,574.9949951171875,575.5399780273438,574.8599853515625,574.989990234375,238876
2025-03-06 15:02:00,575.2000122070312,575.22998046875,574.780029296875,574.969970703125,111923
2025-03-06 15:03:00,576.0599975585938,576.2899780273438,575.1099853515625,575.2000122070312,362569
2025-03-06 15:04:00,576.27001953125,576.6799926757812,576.0599975585938,576.0999755859375,321802
2025-03-06 15:05:00,576.6055297851562,577.0599975585938,576.1900024414062,576.239990234375,231222
2025-03-06 15:06:00,576.97998046875,577.25,576.5800170898438,576.6699829101562,262147
2025-03-06 15:07:00,577.4500122070312,577.510009765625,576.75,576.9600219726562,273148
2025-03-06 15:08:00,577.52001953125,577.77001953125,577.4500122070312,577.489990234375,347874
2025-03-06 15:09:00,577.280029296875,577.6599731445312,577.22998046875,577.47998046875,199590
2025-03-06 15:10:00,577.4500122070312,577.4600219726562,576.8800048828125,577.280029296875,191643
2025-03-06 15:11:00,577.5599975585938,577.614990234375,577.1799926757812,577.469970703125,103200
2025-03-06 15:12:00,577.3800048828125,577.7000122070312,577.25,577.3800048828125,102398
2025-03-06 15:13:00,577.5349731445312,577.780029296875,577.3200073242188,577.4199829101562,447932
2025-03-06 15:14:00,577.4299926757812,577.5399780273438,577.3099975585938,577.5399780273438,118239
2025-03-06 15:15:00,577.760009765625,577.9000244140625,577.3400268554688,577.4450073242188,145522
2025-03-06 15:16:00,577.4600219726562,577.9400024414062,577.25,577.719970703125,166979
2025-03-06 15:17:00,577.8200073242188,577.8599853515625,577.2899780273438,577.4299926757812,240161
2025-03-06 15:18:00,577.6162719726562,578.3599853515625,577.6099853515625,577.7899780273438,196098
2025-03-06 15:19:00,578.030029296875,578.1400146484375,577.60498046875,577.625,71970
2025-03-06 15:20:00,578.1699829101562,578.3499755859375,577.89501953125,578.0499877929688,256783
2025-03-06 15:21:00,578.4199829101562,578.4600219726562,578.1699829101562,578.1834716796875,100675
2025-03-06 15:22:00,578.7000122070312,578.7100219726562,578.3599853515625,578.3900146484375,180550
